                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1994,                 5.7495,                 3.3546,                 1.4662,                0.01445,                0.92463,                0.24061,                0.12231,                0.01317,                0.88051,                0.16285,                0.10682,                0.91509,                  2.918,                 3.2673,                 1.3105,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 1.1441,                 4.5305,                 3.3077,                 1.4935,                0.01643,                0.92463,                0.19547,                0.09679,                0.01598,                0.90993,                0.12717,                0.06642,                 1.0012,                 2.9828,                 3.2558,                 1.3649,             0.00014429,             0.00014429,             0.00014429
                      3,                0.87678,                 3.7396,                 3.2626,                 1.2852,                0.01542,                0.90993,                 0.1714,                0.09575,                0.01449,                0.88051,                0.12986,                0.07413,                 0.9257,                 3.0015,                 3.2423,                 1.3338,             0.00022176,             0.00022176,             0.00022176
                      4,                0.96046,                 2.9169,                 3.2004,                 1.3779,                0.01441,                0.90993,                 0.1889,                0.12893,                0.01441,                0.90993,                0.18608,                0.10243,                0.82924,                 2.7403,                 3.2273,                 1.2607,             0.00029908,             0.00029908,             0.00029908
                      5,                0.84966,                 2.4227,                 3.0536,                 1.3018,                0.01604,                0.90993,                0.19113,                0.11547,                0.01531,                0.89522,                0.15925,                0.10578,                 0.8877,                 2.7423,                 3.1934,                 1.3413,             0.00037624,             0.00037624,             0.00037624
                      6,                 0.7843,                   2.07,                 2.8026,                 1.2384,                0.01862,                0.85993,                0.28731,                 0.1486,                0.01762,                0.84522,                0.27479,                0.14708,                0.95541,                 2.6371,                 3.1804,                 1.4006,             0.00045326,             0.00045326,             0.00045326
                      7,                0.72629,                 1.8785,                 2.5894,                 1.2547,                0.01862,                0.85993,                0.28731,                 0.1486,                0.01762,                0.84522,                0.27479,                0.14708,                0.95541,                 2.6371,                 3.1804,                 1.4006,             0.00053011,             0.00053011,             0.00053011
                      8,                 0.7812,                 1.8451,                 2.5176,                 1.2441,                0.02256,                0.85993,                0.25689,                0.13815,                0.02106,                0.72868,                0.22236,                0.11362,                 1.0005,                 3.1608,                 3.1417,                 1.4312,             0.00060682,             0.00060682,             0.00060682
                      9,                0.94406,                 1.6625,                 2.5073,                 1.4341,                      1,                0.07057,                0.23532,                0.14224,                0.94788,                0.05882,                0.17726,                0.12168,                0.97088,                 3.1717,                 2.8732,                 1.4074,             0.00068336,             0.00068336,             0.00068336
                     10,                0.81997,                 1.7671,                 2.3258,                 1.2832,                      1,                0.07057,                0.23532,                0.14224,                0.94788,                0.05882,                0.17726,                0.12168,                0.97088,                 3.1717,                 2.8732,                 1.4074,             0.00075976,             0.00075976,             0.00075976
                     11,                0.96168,                 2.0893,                  2.305,                 1.3975,                  0.583,                0.16176,                0.24226,                0.15522,                0.57546,                0.14706,                0.23445,                0.13098,                 1.0752,                 3.5944,                 2.4432,                 1.4283,               0.000836,               0.000836,               0.000836
                     12,                  1.021,                 2.1724,                 2.3178,                 1.4025,                  0.583,                0.16176,                0.24226,                0.15522,                0.57546,                0.14706,                0.23445,                0.13098,                 1.0752,                 3.5944,                 2.4432,                 1.4283,             0.00091209,             0.00091209,             0.00091209
                     13,                0.98759,                 2.0529,                 2.1648,                 1.4197,                0.56589,                0.35147,                0.23611,                 0.1451,                0.33931,                0.28676,                0.16776,                0.10793,                 1.0725,                 3.0363,                 2.7596,                 1.4681,             0.00098802,             0.00098802,             0.00098802
                     14,                0.95261,                 2.0123,                 2.1286,                 1.3704,                0.56589,                0.35147,                0.23611,                 0.1451,                0.33931,                0.28676,                0.16776,                0.10793,                 1.0725,                 3.0363,                 2.7596,                 1.4681,              0.0010638,              0.0010638,              0.0010638
                     15,                 1.0143,                  2.015,                 2.1275,                 1.4018,                 0.1329,                0.42206,                0.19251,                0.10613,                0.32785,                 0.2489,                0.28957,                 0.1254,                 1.4577,                 3.3164,                 3.6463,                 1.9736,              0.0010956,              0.0010956,              0.0010956
                     16,                 1.0531,                 1.9235,                 2.1256,                 1.4095,                 0.1329,                0.42206,                0.19251,                0.10613,                0.32785,                 0.2489,                0.28957,                 0.1254,                 1.4577,                 3.3164,                 3.6463,                 1.9736,              0.0010945,              0.0010945,              0.0010945
