                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0633,                 2.5133,                 2.9728,                 1.2063,                   0.01,                      1,                 0.3875,                0.15058,                   0.01,                      1,                 0.3875,                0.26163,                0.92727,                 1.3425,                 3.0656,                 1.3518,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.0527,                 1.6777,                 2.9411,                 1.0497,                   0.01,                      1,                 0.4225,                0.23818,                   0.01,                      1,                 0.4225,                0.31274,                0.89992,                 1.9282,                 3.1004,                 1.3166,             5.8515e-05,             5.8515e-05,             5.8515e-05
                      3,                0.74548,                   1.57,                 2.6638,                 1.0019,                   0.01,                      1,                  0.654,                 0.3285,                   0.01,                      1,                  0.654,                0.48972,                0.86198,                 2.2309,                 3.0682,                 1.3472,              9.505e-05,              9.505e-05,              9.505e-05
                      4,                0.59278,                 1.1157,                 2.4688,                0.93341,                   0.01,                      1,                  0.775,                0.35066,                   0.01,                      1,                  0.775,                0.57115,                0.87138,                 2.7082,                  3.098,                 1.2571,             0.00012961,             0.00012961,             0.00012961
                      5,                0.69111,                 1.1192,                 2.4205,                 1.0427,                   0.01,                      1,                   0.72,                0.27617,                   0.01,                      1,                   0.72,                0.51145,                0.89539,                 2.6343,                 3.0591,                 1.2697,             0.00016218,             0.00016218,             0.00016218
                      6,                0.65854,                 1.0932,                 2.2346,                0.92861,                   0.01,                      1,                   0.72,                0.27617,                   0.01,                      1,                   0.72,                0.51145,                0.89539,                 2.6343,                 3.0591,                 1.2697,             0.00019277,             0.00019277,             0.00019277
                      7,                0.69961,                 1.0829,                 2.0488,                0.95286,                   0.01,                      1,                0.64133,                0.28848,                   0.01,                      1,                0.64133,                0.44311,                0.96877,                 2.3376,                 3.0052,                  1.303,             0.00022139,             0.00022139,             0.00022139
                      8,                0.71275,                  1.151,                 2.0603,                0.97692,                   0.01,                      1,                0.56708,                0.28584,                   0.01,                      1,                0.56708,                0.38655,                 1.0224,                 2.2455,                 2.9312,                 1.2968,             0.00024803,             0.00024803,             0.00024803
                      9,                0.63863,                0.91586,                 1.5585,                0.96461,                   0.01,                      1,                0.56708,                0.28584,                   0.01,                      1,                0.56708,                0.38655,                 1.0224,                 2.2455,                 2.9312,                 1.2968,             0.00027268,             0.00027268,             0.00027268
                     10,                0.75355,                0.96897,                 1.6538,                0.97518,                   0.01,                      1,                0.56708,                0.27032,                   0.01,                      1,                0.56708,                0.41587,                 1.0239,                 1.2324,                 2.8925,                  1.249,             0.00029536,             0.00029536,             0.00029536
                     11,                0.77069,                 1.0409,                 1.5004,                0.91648,                   0.01,                      1,                0.56708,                0.27032,                   0.01,                      1,                0.56708,                0.41587,                 1.0239,                 1.2324,                 2.8925,                  1.249,             0.00031605,             0.00031605,             0.00031605
                     12,                0.85398,                 1.2089,                 1.6076,                 0.9233,                0.57155,                0.47644,                0.56708,                 0.3089,                0.57155,                0.47644,                0.56708,                0.38438,                 0.9162,                0.95684,                 2.7501,                 1.1067,             0.00033476,             0.00033476,             0.00033476
                     13,                0.95729,                0.93922,                 2.1442,                 1.2293,                0.57155,                0.47644,                0.56708,                 0.3089,                0.57155,                0.47644,                0.56708,                0.38438,                 0.9162,                0.95684,                 2.7501,                 1.1067,              0.0003515,              0.0003515,              0.0003515
                     14,                0.72648,                0.74294,                 1.0992,                 1.0743,                0.57155,                0.47644,                0.56708,                 0.3089,                0.57155,                0.47644,                0.56708,                0.38438,                 0.9162,                0.95684,                 2.7501,                 1.1067,             0.00036626,             0.00036626,             0.00036626
                     15,                0.76307,                0.81557,                 1.1115,                0.95575,                0.65533,                  0.644,                0.64133,                 0.3703,                0.65533,                  0.644,                0.64133,                0.41263,                0.94632,                 1.2433,                 2.5935,                 1.3347,             0.00037903,             0.00037903,             0.00037903
                     16,                0.70794,                0.64928,                 1.2922,                0.92339,                0.65533,                  0.644,                0.64133,                 0.3703,                0.65533,                  0.644,                0.64133,                0.41263,                0.94632,                 1.2433,                 2.5935,                 1.3347,             0.00038983,             0.00038983,             0.00038983
                     17,                0.77883,                0.89275,                 1.3222,                 1.0173,                0.65533,                  0.644,                0.64133,                 0.3703,                0.65533,                  0.644,                0.64133,                0.41263,                0.94632,                 1.2433,                 2.5935,                 1.3347,             0.00039864,             0.00039864,             0.00039864
                     18,                0.78989,                0.89153,                 1.0939,                0.99259,                0.71491,                0.85964,                0.74625,                0.45537,                0.71491,                0.85964,                0.74625,                0.48115,                0.93635,                 1.0598,                 2.4255,                 1.4139,             0.00040547,             0.00040547,             0.00040547
                     19,                0.68767,                 0.8375,                 1.0728,                0.89767,                0.71491,                0.85964,                0.74625,                0.45537,                0.71491,                0.85964,                0.74625,                0.48115,                0.93635,                 1.0598,                 2.4255,                 1.4139,             0.00041033,             0.00041033,             0.00041033
                     20,                0.78149,                0.77765,                 1.1263,                 1.0085,                0.71491,                0.85964,                0.74625,                0.45537,                0.71491,                0.85964,                0.74625,                0.48115,                0.93635,                 1.0598,                 2.4255,                 1.4139,             0.00041321,             0.00041321,             0.00041321
                     21,                0.70425,                0.88145,                 1.2805,                 0.9666,                0.92288,                0.66667,                0.78875,                0.33587,                0.92288,                0.66667,                0.78875,                0.48768,                 1.3623,                 1.3012,                 2.3197,                 1.7191,              0.0004141,              0.0004141,              0.0004141
